Actual,Predicted
7.1,7.815639723546196
7.1,7.889137731675056
8.5,7.5664944662167875
7.0,7.727544355654076
8.2,8.05660392828675
8.0,7.852747829595232
7.7,8.00559848573272
8.3,7.698598501324919
8.4,7.8253528074575
8.9,8.382857246781862
8.2,8.125627280139787
8.2,7.961789623271598
7.2,7.851514569114288
7.4,7.740349334789813
8.3,7.955085804400242
8.3,8.033609423713314
8.7,7.771582640768396
8.0,7.730155090795448
8.3,7.856913771665472
6.9,7.7663325150912685
8.3,7.737657751842766
7.4,7.783121141309079
8.3,8.182139623789789
8.3,8.257521296229553
8.0,7.87155357577806
7.4,7.803377128615258
8.0,8.10072921728151
7.0,7.708251903819868
7.1,7.791566471186217
8.0,7.817041995008617
8.2,8.035604419657258
8.3,8.16933057176516
6.4,7.7475027790683155
7.1,7.530548632022259
7.9,7.626754921471959
7.9,7.9931377044641625
8.0,7.840146749851465
8.4,7.9385687353978955
8.7,8.232990280451533
8.1,8.289033498420425
7.8,8.098957393353889
8.3,7.745419537431027
8.3,8.140884192873015
7.0,7.675250822770095
8.4,7.830135572827032
8.2,7.9574412596251145
7.4,7.881051914098587
6.9,7.652650335746148
7.8,7.896815495983491
8.7,8.025563746975854
7.7,8.184085035240653
8.0,8.170217569651367
8.0,7.746097486646569
8.8,7.813620163347485
8.8,8.349117797986846
8.0,7.9023344887179565
7.4,7.573363563927295
8.5,8.169357690563958
7.5,7.904145145576938
8.3,8.229940682598585
8.6,8.248172168294955
6.4,7.507971774019912
7.8,8.132277325428298
7.4,7.707338483529853
8.1,7.98051236884166
8.1,8.156329058774354
9.0,7.994965674167638
8.6,8.138009139283396
7.4,7.842034379434644
7.0,7.726747228092488
8.2,7.926498285564278
7.2,7.890095543095181
8.0,7.604999711865399
8.0,7.870487239887306
7.1,7.853266991403565
8.2,7.942295835954929
8.4,7.781504970249386
8.1,7.768002528099733
8.3,8.385380557108382
7.9,8.090018449460201
8.0,8.098395012860026
8.2,8.09150369081314
8.5,8.250284390845895
7.8,7.674098055275605
8.6,7.885910240739654
8.2,7.916161763088337
8.3,7.926990170967941
8.1,7.873731619557884
7.9,7.798798004948836
8.6,7.733340025451575
7.3,8.069522023687345
8.0,7.833143971752709
7.9,7.855367770696536
8.2,8.24065909684365
8.3,8.224292402559229
8.7,8.11484203387379
7.5,7.710318594299341
6.9,7.803244843053632
8.3,8.332085386799463
8.4,7.826787637068359
8.7,8.268861020723026
7.1,7.795445734263415
7.1,7.33987571929024
8.3,8.178446242119954
8.6,8.644057962489487
8.3,8.115075860507678
7.9,7.939927101837851
7.1,7.808787273466915
7.7,7.522530998459237
8.2,7.974499789443113
7.9,7.637006403031755
8.5,8.242587324666975
8.0,8.172494995345243
8.4,8.00805444457363
9.0,7.861342796396852
8.3,8.236344297977823
7.8,8.015569991036664
7.1,7.829512590068221
7.7,8.02976910272763
8.5,8.309451727339852
8.6,8.123908174204827
8.3,8.183112462495854
7.9,8.471162793088538
8.0,7.743544713605724
8.0,8.058955904968295
8.2,7.95105945448581
7.8,7.90405858553977
8.2,7.969213405361087
8.3,8.129564981498456
7.8,8.124065792538254
8.0,8.339836913094363
7.8,7.8611041812243165
7.7,7.6321735436847415
8.0,7.94074424812396
7.0,7.758470940199956
7.5,7.847389663191822
8.6,7.726827253271532
8.0,7.8705612224051995
8.0,8.023248418295086
8.6,8.458167815127002
7.9,7.957290340496822
7.2,7.806977341238119
8.0,8.026494106804725
8.3,7.824072116128017
7.9,7.499659433724025
8.0,7.538031561424669
8.3,8.039906280050586
8.2,8.118461027066033
8.0,8.395637905434386
7.9,7.868945230368642
7.7,8.019667664611811
8.3,8.323550053215627
7.8,8.140408026556502
8.0,8.20130629324567
8.5,7.9372688376613185
8.6,7.901430484918876
8.2,7.6462305234822585
8.2,7.889181798177581
8.7,8.375994965000547
8.3,8.27109905966309
8.8,8.472353719008462
7.5,7.920406547833347
8.5,7.88769900311958
7.9,8.107555255815154
8.2,8.042140865662285
8.0,8.065075080785618
7.7,7.849720068481099
8.7,8.232033727377626
7.9,7.7190812751500655
8.2,8.048667487448503
7.8,8.321438722882753
8.6,8.20696886612237
8.1,8.400072136068708
7.5,7.928537248961552
8.5,8.231333226304159
8.4,7.930438034269691
8.2,7.994254128299318
8.3,7.75775503269136
8.0,7.834407431408026
8.5,8.234305793607152
8.2,8.733737988769168
7.4,8.045904053037965
8.3,8.016372867752859
8.2,8.32711622311242
7.9,7.8749869132565
8.2,8.241982999534745
8.4,7.875731269349906
8.3,8.019184893136803
7.0,7.666651176106787
7.2,7.7966146829374665
8.0,8.080322751704838
7.4,7.872662034561108
8.4,7.856297050569287
7.8,8.199395466114067
7.8,7.68366047568072
8.5,7.695112984239748
9.0,8.219023358818209
8.3,8.125192826043271
8.5,7.897882603576188
8.7,8.025563746975854
7.1,7.738796626609044
8.3,7.87747966275446
8.5,7.64903901117992
8.6,7.729823333178735
8.3,7.486635919615374
7.9,8.152600735269719
7.8,8.185206595517787
8.7,8.028752257222209
8.5,7.709939556885298
8.2,7.921077818145474
8.6,7.740514173505874
8.2,7.912642690663829
7.9,7.855208345184218
7.4,7.727541897777097
7.1,7.410660646759317
8.0,8.149512853447774
8.5,8.208810166310439
7.7,7.701817609895994
8.1,7.878006131598975
6.9,7.761230898697101
8.2,8.092311369789615
8.2,7.974074329904728
7.7,7.650826328625917
8.3,8.271258485175407
8.0,8.265385198841978
7.5,7.87432013343772
8.2,7.701767346300245
8.7,7.984113113773241
8.3,8.159979477577624
7.0,7.780473625743566
8.3,7.909843041754963
8.2,7.960344969441929
7.7,7.723683787755125
8.2,7.726923679967178
8.0,8.065177328034652
7.4,8.237539686542778
8.7,8.157845788903254
8.7,8.1852001284387
7.8,7.9607865601122185
8.1,7.840062859667352
8.8,7.916449618792429
7.8,7.974278783346367
7.7,8.083916146075861
7.8,8.306465726081415
8.1,7.865725999972886
9.0,8.101828744033625
8.3,8.012000712297676
7.4,8.223721396117352
8.2,8.039551293000038
8.7,7.767240117412759
8.0,8.056249499344858
7.4,7.92846348839916
7.2,7.883820438175271
7.8,7.921221899609639
7.4,7.807875603944743
